id,name,address,category,location,lat,lng,details,reviews
41491,Belgrave Square Garden,"London, United Kingdom",attraction,London,51.499468,-0.15375,http://tour-pedia.org/api/getPlaceDetails?id=41491,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41491
41565,Leighton House Museum,"12 Holland Park Road, London, United Kingdom",attraction,London,51.498633,-0.202967,http://tour-pedia.org/api/getPlaceDetails?id=41565,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41565
41575,Ruskin House,"23 Coombe Road, Croydon, United Kingdom",attraction,London,51.367319,-0.096507,http://tour-pedia.org/api/getPlaceDetails?id=41575,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41575
41584,Childs Hill Park,"Granville Road, London, United Kingdom",attraction,London,51.567334,-0.200581,http://tour-pedia.org/api/getPlaceDetails?id=41584,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41584
41585,Basing Hill Park,"London, United Kingdom",attraction,London,51.568497,-0.206152,http://tour-pedia.org/api/getPlaceDetails?id=41585,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41585
41589,Finsbury Square Garden,"London, United Kingdom",attraction,London,51.521054,-0.086422,http://tour-pedia.org/api/getPlaceDetails?id=41589,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41589
41612,Eel Pie Pictures,"Eel Pie Island, Twickenham, United Kingdom",attraction,London,51.445338,-0.325528,http://tour-pedia.org/api/getPlaceDetails?id=41612,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41612
41651,Fire,"Arch 39 - 43, Parry Street, London, United Kingdom",attraction,London,51.484637,-0.123414,http://tour-pedia.org/api/getPlaceDetails?id=41651,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41651
41688,Odeon Cinema South Woodford,"60-64 High Rd, London, United Kingdom",attraction,London,51.593357,0.022554,http://tour-pedia.org/api/getPlaceDetails?id=41688,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41688
41738,Hillside Gardens,"London, United Kingdom",attraction,London,51.437835,-0.115382,http://tour-pedia.org/api/getPlaceDetails?id=41738,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41738
41755,Brunel Museum,"Railway Avenue, London, United Kingdom",attraction,London,51.50165,-0.052786,http://tour-pedia.org/api/getPlaceDetails?id=41755,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41755
41791,East Greenwich Pleasaunce,"Chevening Road, London, United Kingdom",attraction,London,51.484697,0.013776,http://tour-pedia.org/api/getPlaceDetails?id=41791,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41791
41792,Victoria Square,"Victoria Square, London, United Kingdom",attraction,London,51.497723,-0.144952,http://tour-pedia.org/api/getPlaceDetails?id=41792,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41792
41802,King Edward VII Memorial Park,"London, United Kingdom",attraction,London,51.509204,-0.048904,http://tour-pedia.org/api/getPlaceDetails?id=41802,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41802
41804,Zabludowicz Collection,"176 Prince of Wales Road, London, United Kingdom",attraction,London,51.546188,-0.153293,http://tour-pedia.org/api/getPlaceDetails?id=41804,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41804
41806,Edgwarebury Park,United Kingdom,attraction,London,51.625804,-0.28273,http://tour-pedia.org/api/getPlaceDetails?id=41806,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41806
41827,Buckingham Palace Gardens,"London, United Kingdom",attraction,London,51.50112,-0.146041,http://tour-pedia.org/api/getPlaceDetails?id=41827,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41827
41865,Whittington Park,"Holloway Road, London, United Kingdom",attraction,London,51.562,-0.129,http://tour-pedia.org/api/getPlaceDetails?id=41865,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41865
41868,Foxham Gardens,"London, United Kingdom",attraction,London,51.559711,-0.131528,http://tour-pedia.org/api/getPlaceDetails?id=41868,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41868
41892,Hampton Pool,"High Street, Hampton, United Kingdom",attraction,London,51.41841,-0.35805,http://tour-pedia.org/api/getPlaceDetails?id=41892,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41892
41935,Hackney Museum,"1 Reading Lane, London, United Kingdom",attraction,London,51.5445,-0.055854,http://tour-pedia.org/api/getPlaceDetails?id=41935,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41935
41974,Lammas Park,"London, United Kingdom",attraction,London,51.502959,-0.31163,http://tour-pedia.org/api/getPlaceDetails?id=41974,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41974
42005,Bedford Square Garden,"London, United Kingdom",attraction,London,51.519042,-0.130142,http://tour-pedia.org/api/getPlaceDetails?id=42005,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42005
42025,Richmond Spa,"The Quadrant, Richmond Upon Thames, United Kingdom",attraction,London,51.46264,-0.302782,http://tour-pedia.org/api/getPlaceDetails?id=42025,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42025
42077,Big Slick Players Club,"10 Royal Oak Centre Brighton Road, Purley, London, United Kingdom",attraction,London,51.345528,-0.103603,http://tour-pedia.org/api/getPlaceDetails?id=42077,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42077
42083,Bush Hill Park,"Enfield, United Kingdom",attraction,London,51.648291,-0.06751,http://tour-pedia.org/api/getPlaceDetails?id=42083,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42083
42097,Bethnal Green Gardens,"London, United Kingdom",attraction,London,51.525732,-0.054147,http://tour-pedia.org/api/getPlaceDetails?id=42097,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42097
42102,Downhills Park,"Downhills Park Road, London, United Kingdom",attraction,London,51.589298,-0.089235,http://tour-pedia.org/api/getPlaceDetails?id=42102,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42102
