address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
Clink Street,poi,35674,51.50701,-0.0914923,London,Clink Street,4ac518d0f964a520b2a620e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=35674,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35674
Whitehall,poi,35677,51.506365179647,-0.12720108032227,London,Whitehall,4ac518d0f964a520b9a620e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=35677,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35677
Kensington Gardens,poi,35680,51.508724498608,-0.17584482432415,London,Peter Pan Statue,4ac518d1f964a52000a720e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35680,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35680
St. James Street,poi,35696,51.488516768608,-0.22187348315923,London,St. James' Square,4ac518d1f964a520d7a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35696,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35696
Mews North,poi,35698,51.496638720565,-0.14539483118205,London,Grosvenor Gardens North,4ac518d1f964a520daa620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35698,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35698
10 Paternoster Square,poi,35700,51.514752707489,-0.099213125786084,London,London Stock Exchange,4ac518d1f964a520dca620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35700,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35700
19 Princelet Street,poi,35708,51.519648844446,-0.072489251489918,London,19 Princelet Street,4ac518d1f964a520eea620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35708,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35708
Ave Maria Lane,poi,35709,51.514227390289,-0.1015430688858,London,Stationers' Hall,4ac518d1f964a520f2a620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35709,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35709
51 Piccadilly,poi,35713,51.50869580196,-0.14000167630036,London,Burlington Arcade,4ac518d1f964a520faa620e3,0,Mall,http://tour-pedia.org/api/getPlaceDetails?id=35713,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35713
Middle Temple Lane,poi,35715,51.512580772644,-0.11143010760394,London,Middle Temple,4ac518d1f964a520fda620e3,0,Building,http://tour-pedia.org/api/getPlaceDetails?id=35715,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35715
New North Rd. & Baring St.,poi,35716,51.543826282304,-0.094585418701172,London,New River Walk,4ac518d1f964a520fea620e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35716,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35716
165 Shooters Hill Road,poi,35720,51.471772293772,0.047965963864182,London,Shooters Hill,4ac518d2f964a5200ca720e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35720,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35720
Btwn. Island Gardens & Greenwich,poi,35721,51.484970766315,-0.0097846984863281,London,Greenwich Foot Tunnel,4ac518d2f964a5200fa720e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=35721,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35721
